degree,count,depression_rate
'Class 12',6070,0.7080724876441515
B.Arch,1475,0.5898305084745763
BSc,883,0.5889014722536806
BBA,694,0.5850144092219021
MBBS,694,0.5806916426512968
BCA,1430,0.5713286713286714
MSc,1185,0.569620253164557
B.Tech,1151,0.5682015638575152
B.Com,1503,0.5662009314703925
PhD,519,0.5491329479768786
BHM,922,0.5488069414316703
B.Ed,1861,0.5464803868887694
BE,610,0.5426229508196722
MBA,561,0.5383244206773619
M.Pharm,580,0.5379310344827586
LLM,481,0.5363825363825364
BA,596,0.535234899328859
MCA,1039,0.5332050048123196
MA,542,0.5313653136531366
LLB,670,0.5313432835820896
M.Com,733,0.5306957708049114
ME,185,0.5297297297297298
B.Pharm,808,0.5284653465346535
MD,569,0.5202108963093146
MHM,191,0.518324607329843
M.Tech,1020,0.5088235294117647
M.Ed,818,0.5061124694376528
