feature,coefficient,abs_coefficient
categorical__have_you_ever_had_suicidal_thoughts_Yes,1.2757979111230195,1.2757979111230195
categorical__have_you_ever_had_suicidal_thoughts_No,-1.2024135657003898,1.2024135657003898
numeric__academic_pressure,1.1521706185350407,1.1521706185350407
numeric__financial_stress,0.7915962729014939,0.7915962729014939
numeric__age,-0.5768186709909778,0.5768186709909778
categorical__dietary_habits_Unhealthy,0.575426142584096,0.575426142584096
categorical__dietary_habits_Healthy,-0.492897331085059,0.492897331085059
numeric__work_study_hours,0.44026627345917213,0.44026627345917213
categorical__sleep_duration_'Less than 5 hours',0.3580612619050754,0.3580612619050754
numeric__study_satisfaction,-0.33217006961245005,0.33217006961245005
categorical__sleep_duration_'More than 8 hours',-0.2690506310889358,0.2690506310889358
categorical__degree_LLB,0.20833259234006982,0.20833259234006982
categorical__degree_BA,-0.19967945707452714,0.19967945707452714
categorical__degree_MA,-0.18560041890532936,0.18560041890532936
categorical__family_history_of_mental_illness_Yes,0.17004611544044812,0.17004611544044812
categorical__degree_MBBS,0.16997870754137834,0.16997870754137834
categorical__degree_PhD,0.15357277789037374,0.15357277789037374
categorical__degree_'Class 12',-0.14328595647720607,0.14328595647720607
categorical__degree_BHM,-0.14201211866590469,0.14201211866590469
categorical__degree_MSc,-0.13676639399191373,0.13676639399191373
categorical__degree_BSc,0.13343783030415166,0.13343783030415166
categorical__degree_LLM,0.12858018645597274,0.12858018645597274
categorical__degree_M.Tech,-0.1221004728804429,0.1221004728804429
categorical__degree_M.Ed,0.10327717084898963,0.10327717084898963
categorical__degree_B.Tech,0.10143084516288929,0.10143084516288929
categorical__degree_B.Com,-0.10111572320030772,0.10111572320030772
categorical__family_history_of_mental_illness_No,-0.09666177001805551,0.09666177001805551
categorical__degree_B.Pharm,-0.09411650937402065,0.09411650937402065
numeric__cgpa,0.09209580758784094,0.09209580758784094
categorical__degree_BBA,0.06429595878369775,0.06429595878369775
categorical__degree_MCA,0.061362330157265915,0.061362330157265915
categorical__degree_M.Com,-0.060329990563497256,0.060329990563497256
categorical__degree_MD,0.05793970216522664,0.05793970216522664
categorical__degree_MBA,-0.053964942485831446,0.053964942485831446
categorical__degree_BE,0.04761209526965439,0.04761209526965439
categorical__degree_M.Pharm,0.04377130996757033,0.04377130996757033
categorical__gender_Female,0.038232056329178504,0.038232056329178504
categorical__gender_Male,0.0351522890932207,0.0351522890932207
categorical__degree_ME,0.03439394960634196,0.03439394960634196
categorical__sleep_duration_'5-6 hours',-0.018585104382205234,0.018585104382205234
categorical__degree_B.Ed,-0.013806140168414626,0.013806140168414626
categorical__degree_BCA,0.013709473225049036,0.013709473225049036
categorical__dietary_habits_Moderate,-0.009144466076338476,0.009144466076338476
numeric__job_satisfaction,-0.006941940202308262,0.006941940202308262
categorical__degree_MHM,0.006322210189267525,0.006322210189267525
categorical__sleep_duration_'7-8 hours',0.0029588189884682983,0.0029588189884682983
categorical__degree_B.Arch,-0.001854670698010773,0.001854670698010773
numeric__work_pressure,0.0,0.0
