feature,feature_label,level,level_label,comparison,coefficient,abs_coefficient,odds_ratio,odds_change_percent,direction
have_you_ever_had_suicidal_thoughts,Suicidal Thoughts,Yes,Yes,Yes vs. reference level,2.5106613927667047,2.5106613927667047,12.313071144177396,1131.3071144177395,Higher odds
dietary_habits,Dietary Habits,Unhealthy,Unhealthy,Unhealthy vs. reference level,1.0893074212452603,1.0893074212452603,2.972214866693064,197.22148666930642,Higher odds
academic_pressure,Academic Pressure,,,one-unit increase,0.8444282444729014,0.8444282444729014,2.3266471608283568,132.66471608283567,Higher odds
financial_stress,Financial Stress,,,one-unit increase,0.5575073727665288,0.5575073727665288,1.7463141604598578,74.63141604598577,Higher odds
dietary_habits,Dietary Habits,Moderate,Moderate,Moderate vs. reference level,0.4933003015869907,0.4933003015869907,1.6377122551405148,63.77122551405148,Higher odds
degree,Degree,LLB,Llb,Llb vs. reference level,0.41322110138901,0.41322110138901,1.5116792233628975,51.16792233628975,Higher odds
sleep_duration,Sleep Duration,'Less than 5 hours',Less Than 5 Hours,Less Than 5 Hours vs. reference level,0.3836510186413356,0.3836510186413356,1.4676331756818757,46.76331756818757,Higher odds
degree,Degree,MBBS,Mbbs,Mbbs vs. reference level,0.36324150800022015,0.36324150800022015,1.4379831017318516,43.798310173185165,Higher odds
degree,Degree,PhD,Phd,Phd vs. reference level,0.3554847244332041,0.3554847244332041,1.4268721264639652,42.687212646396524,Higher odds
degree,Degree,LLM,Llm,Llm vs. reference level,0.32708688887789755,0.32708688887789755,1.3869219800396244,38.69219800396244,Higher odds
degree,Degree,BSc,Bsc,Bsc vs. reference level,0.3143269803461434,0.3143269803461434,1.3693374097734488,36.933740977344875,Higher odds
degree,Degree,M.Ed,M.Ed,M.Ed vs. reference level,0.28521078690612134,0.28521078690612134,1.330042354088743,33.004235408874294,Higher odds
degree,Degree,B.Tech,B.Tech,B.Tech vs. reference level,0.27417651679211474,0.27417651679211474,1.3154469802276116,31.544698022761164,Higher odds
family_history_of_mental_illness,Family History of Mental Illness,Yes,Yes,Yes vs. reference level,0.2708587406447555,0.2708587406447555,1.3110898535957074,31.108985359570738,Higher odds
job_satisfaction,Job Satisfaction,,,one-unit increase,-0.2682116344111127,0.2682116344111127,0.7647459174236212,-23.52540825763788,Lower odds
sleep_duration,Sleep Duration,'More than 8 hours',More Than 8 Hours,More Than 8 Hours vs. reference level,-0.2575280344319963,0.2575280344319963,0.7729599565163976,-22.70400434836024,Lower odds
study_satisfaction,Study Satisfaction,,,one-unit increase,-0.24671599297006414,0.24671599297006414,0.7813625744860924,-21.863742551390764,Lower odds
degree,Degree,MD,Md,Md vs. reference level,0.23888342031102358,0.23888342031102358,1.2698304915107268,26.98304915107268,Higher odds
degree,Degree,BBA,Bba,Bba vs. reference level,0.2359887818209419,0.2359887818209419,1.2661601060764218,26.61601060764218,Higher odds
degree,Degree,MCA,Mca,Mca vs. reference level,0.23193671598711615,0.23193671598711615,1.2610399226364168,26.103992263641686,Higher odds
degree,Degree,BE,Be,Be vs. reference level,0.2209713764975631,0.2209713764975631,1.2472877283097747,24.728772830977476,Higher odds
degree,Degree,M.Pharm,M.Pharm,M.Pharm vs. reference level,0.2193648021900807,0.2193648021900807,1.2452854767050912,24.528547670509116,Higher odds
