feature,importance_mean,importance_std,feature_label
have_you_ever_had_suicidal_thoughts,0.11109509710184448,0.0020339625440891243,Suicidal Thoughts
academic_pressure,0.08983294550397276,0.001648971520133611,Academic Pressure
financial_stress,0.03695862474582297,0.0018560824629884195,Financial Stress
age,0.015566009558454774,0.0008924734296880663,Age
dietary_habits,0.009600509019635384,0.00021082502618479296,Dietary Habits
work_study_hours,0.00911540941570257,0.00036680865398963186,Work/Study Hours
study_satisfaction,0.004544387829815632,0.0004522632487169272,Study Satisfaction
sleep_duration,0.0017666432387466236,0.0001298021931896872,Sleep Duration
family_history_of_mental_illness,0.0002530846856158675,0.00014798642127508127,Family History of Mental Illness
cgpa,0.0002511645974659027,4.6471070616279056e-05,CGPA
degree,9.910214971358134e-05,4.663767514948128e-05,Degree
gender,5.820000525669222e-06,5.057094429065452e-06,Gender
work_pressure,0.0,0.0,Work Pressure
job_satisfaction,0.0,0.0,Job Satisfaction
