feature,importance
numeric__academic_pressure,0.20719298791969454
categorical__have_you_ever_had_suicidal_thoughts_No,0.19173695757365825
categorical__have_you_ever_had_suicidal_thoughts_Yes,0.18732432194676624
numeric__financial_stress,0.11290751320514335
numeric__age,0.059897410860711195
numeric__work_study_hours,0.049859797011236495
numeric__cgpa,0.03810642497118458
numeric__study_satisfaction,0.030626874964801657
categorical__dietary_habits_Unhealthy,0.023407939201639017
categorical__dietary_habits_Healthy,0.01690699954380494
categorical__degree_'Class 12',0.009269356374042853
categorical__sleep_duration_'Less than 5 hours',0.00762161775349781
categorical__sleep_duration_'More than 8 hours',0.006114519552496276
categorical__dietary_habits_Moderate,0.006018216590799069
categorical__gender_Female,0.005766768135514146
categorical__gender_Male,0.0056339766161242035
categorical__family_history_of_mental_illness_Yes,0.0054405653271949635
categorical__family_history_of_mental_illness_No,0.005436214446083045
categorical__sleep_duration_'7-8 hours',0.005165761520522438
categorical__sleep_duration_'5-6 hours',0.004788553239777003
categorical__degree_BCA,0.001544338467111826
categorical__degree_B.Ed,0.0014106783087410484
categorical__degree_B.Arch,0.0011852357266637517
categorical__degree_MSc,0.0011642047509871662
categorical__degree_B.Com,0.0011418858074858998
categorical__degree_BE,0.0011103737598870654
categorical__degree_BHM,0.0010603948066732392
categorical__degree_MCA,0.0009868093615516443
categorical__degree_M.Tech,0.0009235683558213212
categorical__degree_BA,0.000889860392757705
categorical__degree_B.Tech,0.0008786236281452194
categorical__degree_MBBS,0.000875084988073412
categorical__degree_B.Pharm,0.000773144940074274
categorical__degree_BSc,0.0007399548984583969
categorical__degree_MD,0.0007336865729050098
categorical__degree_LLB,0.0006944230176819819
categorical__degree_BBA,0.0006587668450656226
categorical__degree_M.Ed,0.0006565369715518597
categorical__degree_MA,0.0006249615939353605
categorical__degree_MBA,0.0005260672013754513
categorical__degree_M.Pharm,0.0005169280508575196
categorical__degree_M.Com,0.0004703876481524652
categorical__degree_PhD,0.0003942127093766856
categorical__degree_LLM,0.00039223610760737485
categorical__degree_MHM,0.00022004776380383197
categorical__degree_ME,0.0002048105705628897
categorical__dietary_habits_Others,0.0
categorical__sleep_duration_Others,0.0
numeric__job_satisfaction,0.0
numeric__work_pressure,0.0
